Timestamp_Epoch,Timestamp_Seconds,Cart_X,Cart_Y,Cart_Z,Yaw_angle,Cable_X,Cable_Y,Unused,Cable_Lock,Yaw_angle_corrected,Rot_X,Rot_Y,CCOG_X,CCOG_Y,CCOG_Z
1759745225.001,120705.001,619459.23,5806091.62,41.45,102.3,6.80000000000001,2.600000000000004,,1,282.3,3.9889251202015306,-6.090030901844862,619463.2189251202,5806085.529969098,41.45
1759745225.203,120705.203,619459.32,5806091.63,41.42,100.5,5.400000000000008,2.1999999999999966,,1,280.5,3.1472326342982946,-4.90865834476264,619462.4672326342,5806086.721341656,41.42
1759745225.406,120705.406,619459.32,5806091.63,41.42,103.29999999999998,6.600000000000009,1.400000000000002,,1,283.29999999999995,2.880778687329409,-6.100910928265449,619462.2007786873,5806085.529089072,41.42
1759745225.61,120705.61,619459.26,5806091.58,41.42,103.29999999999998,6.600000000000009,1.400000000000002,,1,283.29999999999995,2.880778687329409,-6.100910928265449,619462.1407786873,5806085.479089072,41.42
1759745225.811,120705.811,619459.26,5806091.58,41.42,103.3,6.100000000000002,1.699999999999996,,1,283.3,3.057707480568486,-5.545306570720462,619462.3177074806,5806086.034693429,41.42
1759745226.028,120706.028,619459.23,5806091.67,41.47,101.4,5.200000000000007,4.099999999999993,,1,281.4,5.04692998592051,-4.2870150124785456,619464.2769299858,5806087.382984987,41.47
1759745226.23,120706.23,619459.27,5806091.62,41.44,101.2,5.200000000000007,4.1,,1,281.2,5.031934763275541,-4.3046059678139175,619464.3019347633,5806087.315394033,41.44
1759745226.23,120706.23,619459.27,5806091.62,41.44,101.9,5.200000000000007,3.2999999999999985,,1,281.9,4.3013414148983395,-4.4077729107203805,619463.5713414149,5806087.212227089,41.44
1759745226.431,120706.431,619459.27,5806091.64,41.45,101.0,5.400000000000008,3.799999999999999,,1,281.0,4.760551872134467,-4.575712608186522,619464.0305518721,5806087.0642873915,41.45
1759745226.634,120706.634,619459.26,5806091.62,41.44,101.0,4.800000000000007,2.7999999999999914,,1,281.0,3.6644392914608686,-4.177545293494469,619462.9244392915,5806087.442454707,41.44
1759745226.837,120706.837,619459.26,5806091.62,41.44,100.90000000000003,4.700000000000013,2.500000000000004,,1,280.90000000000003,3.3436453637936063,-4.142467342198567,619462.6036453638,5806087.477532658,41.44
1759745227.053,120707.053,619459.24,5806091.61,41.42,101.7,4.9,3.199999999999998,,1,281.7,4.127170741236558,-4.149272426905815,619463.3671707412,5806087.460727573,41.42
1759745227.255,120707.255,619459.26,5806091.62,41.43,101.3,4.800000000000007,2.7999999999999976,,1,281.3,3.6862625362946,-4.158301157144701,619462.9462625363,5806087.461698843,41.43
1759745227.46,120707.46,619459.25,5806091.61,41.43,101.3,4.599999999999993,2.4000000000000035,,1,281.3,3.2548274440274545,-4.04055668313237,619462.504827444,5806087.569443317,41.43
1759745227.663,120707.663,619459.25,5806091.61,41.43,101.8,4.700000000000013,2.900000000000004,,1,281.8,3.799846871065309,-4.007638176838738,619463.049846871,5806087.602361823,41.43
1759745227.863,120707.863,619459.25,5806091.61,41.43,100.6,3.899999999999999,2.399999999999997,,1,280.6,3.076455105348538,-3.3919646202127303,619462.3264551053,5806088.21803538,41.43
1759745228.08,120708.08,619459.23,5806091.61,41.43,100.6,3.0000000000000044,3.1000000000000045,,1,280.6,3.5989536342017856,-2.378556860549231,619462.8289536341,5806089.23144314,41.43
1759745228.283,120708.283,619459.23,5806091.61,41.43,100.3,2.4000000000000035,3.099999999999998,,1,280.3,3.4791689338732166,-1.807037224179819,619462.7091689338,5806089.802962776,41.43
1759745228.486,120708.486,619459.28,5806091.61,41.43,99.6,2.0000000000000155,2.599999999999997,,1,279.6,2.897127189815517,-1.5383933326791595,619462.1771271898,5806090.071606668,41.43
1759745228.686,120708.686,619459.42,5806091.59,41.43,99.6,2.5000000000000098,2.5000000000000098,,1,279.6,2.881911959466529,-2.0480682258860146,619462.3019119595,5806089.541931774,41.43
1759745228.889,120708.889,619459.42,5806091.59,41.43,101.0,2.3000000000000096,2.300000000000004,,1,281.0,2.6966032112956864,-1.8188818325635818,619462.1166032114,5806089.771118167,41.43
1759745229.092,120709.092,619459.5,5806091.61,41.45,99.5,3.2000000000000046,2.4999999999999973,,1,279.5,2.9938663425972454,-2.7434949102674513,619462.4938663426,5806088.86650509,41.45
1759745229.31,120709.31,619459.81,5806091.52,41.42,100.5,3.4999999999999987,3.199999999999992,,1,280.5,3.784240043427163,-2.85823849489897,619463.5942400434,5806088.661761505,41.42
1759745229.51,120709.51,619459.96,5806091.53,41.45,98.8,3.5999999999999925,3.2999999999999985,,1,278.8,3.8119026693961584,-3.052768913470257,619463.7719026693,5806088.477231087,41.45
1759745229.712,120709.712,619460.12,5806091.52,41.43,99.7,3.900000000000012,2.6999999999999917,,1,279.7,3.3185079468434084,-3.389322204621035,619463.4385079468,5806088.130677795,41.43
